区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
二里庄租房,健翔园,健翔园小区   三居室  有钥匙,3室1厅,115平米,8500,低楼层(共24层),2000年建塔楼,东 南,2017.07.27,3, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101855087.html
管庄租房,住欣家园,东南1居室，有钥匙，随时可以看房。,1室1厅,49平米,4200,中楼层(共28层),2010年建塔楼,西南,2017.07.26,26, 距离6号线草房站638米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101809084.html
旧宫租房,宣颐家园,宣颐家园 2室1厅 3500元,2室1厅,34平米,3500,中楼层(共5层),2003年建板楼,东,2017.07.25,16, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101821424.html
双井租房,百环家园,10号线双井百环家园一居室，高楼层，视野好,1室1厅,58平米,6000,高楼层(共27层),2005年建塔楼,北,2017.07.26,31, 距离10号线双井站917米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101725395.html
北苑租房,润泽悦溪,北苑润泽悦溪精装2居室随时入住,2室1厅,88平米,6800,中楼层(共11层),2010年建板塔结合,南,2017.07.26,80, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101519084.html
马家堡租房,嘉园一里,精装两居室 家具家电全齐 拎包入住 临地铁,2室1厅,76平米,5500,高楼层(共22层),1998年建塔楼,南 西,2017.07.26,57, 距离4号线马家堡站105米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101485259.html
东直门租房,万国城MOMA,万国城8号楼西北向大两居，视野广，看西山观二环,2室2厅,145平米,23000,中楼层(共31层),2006年建塔楼,西北,2017.07.21,24, 距离2号线东直门站1012米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101487126.html
七里庄租房,望园东里,七里庄望园东里三居出租！拎包入住！楼下地铁9.14号线,3室1厅,96平米,6500,高楼层(共24层),1999年建塔楼,东 南 北,2017.07.26,31, 距离9号线七里庄站294米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101724103.html
劲松租房,劲松一区,劲松一区，离地铁近，上班生活都方便。,2室1厅,43平米,5400,中楼层(共5层),1977年建板楼,南,2017.07.18,30, 距离10号线劲松站480米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101728762.html
赵公口租房,彩虹城四区,彩虹城 精装小两居 正对小区花园 中高楼层视野好,2室1厅,64平米,5500,中楼层(共22层),2005年建塔楼,东北,2017.07.26,28, 距离10号线石榴庄站1104米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101729279.html
望京租房,北纬40度二期,北纬高层精装两居 家具家电齐全 保持很好,2室2厅,101平米,8500,高楼层(共29层),2009年建板楼,南 北,2017.07.25,44, 距离14号线(东段)来广营站652米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101706258.html
甘家口租房,阜光里小区,海淀 甘家口 增光路  三居室 ,3室1厅,122平米,11000,中楼层(共14层),1998年建板楼,东 西,2017.07.22,36, 距离9号线白堆子站711米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101682144.html
北苑租房,华贸城,13号线北苑站 华贸城精装修南向开间 带家具家电,1室0厅,54平米,5000,低楼层(共28层),2011年建板塔结合,南,2017.07.20,47, 距离13号线北苑站704米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101684872.html
双井租房,合生国际花园,合生国际经典南北通透3居室，有钥匙，随时看！,3室1厅,130平米,14000,高楼层(共18层),2007年建板楼,南 北,2017.07.27,43, 距离10号线双井站834米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101688663.html
月坛租房,南礼士路三条南里,南礼士路三条南里两居 金融街 南礼士路 有电梯,2室1厅,96平米,13200,中楼层(共11层),2008年建板塔结合,南 北,2017.07.21,19, 距离1号线南礼士路站550米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101100844681.html
黄村北租房,金地仰山,大兴黄村高米店南 两居一层带院子 南北通透看房随时,2室1厅,89平米,5000,低楼层(共18层),2012年建板楼,南 北,2017.07.26,28, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101722176.html
紫竹桥租房,财智公馆,紫竹桥 精装修一居室 看房有钥匙 随时签约,1室1厅,48平米,5100,中楼层(共16层),2004年建板塔结合,西,2017.07.23,70, 距离10号线车道沟站981米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101737492.html
牡丹园租房,中鑫嘉园,海淀区 牡丹园 正规 精装修 两居室 落地飘窗,2室1厅,101平米,9800,中楼层(共25层),2002年建塔楼,西,2017.07.20,33, 距离10号线健德门站498米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101738346.html
广安门租房,荣丰2008,婚房装修 家具家电齐全 看房提前预约,1室1厅,28平米,4700,高楼层(共20层),2004年建塔楼,北,2017.07.21,50, 距离7号线达官营站888米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101739441.html
奥林匹克公园租房,京师园,南北通透三居室，集中供暖，有车位，采光充足,3室2厅,116平米,11500,低楼层(共21层),2006年建板塔结合,南 北,2017.07.27,42, 距离8号线林萃桥站783米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101697679.html
知春路租房,太阳园,知春路太阳园南向精装修的两居室,2室1厅,108平米,11500,高楼层(共27层),2001年建塔楼,南,2017.07.26,31, 距离10号线知春路站951米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101708894.html
立水桥租房,佳运园一期,森林公园东 南北通透两居室 随时看房,2室1厅,81平米,4500,中楼层(共6层),1998年建板楼,南 北,2017.07.25,31, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101712536.html
玉泉营租房,万年花城五期,玉泉营万年花城小区家具家电齐全随时拎包入住,2室1厅,91平米,6600,高楼层(共15层),2011年建板楼,南 北,2017.07.22,26, 距离10号线首经贸站672米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101714772.html
安贞租房,安贞西里,带电梯双南两居，小区配套齐全，环境优美，交通便利,2室1厅,57平米,6000,中楼层(共16层),1987年建塔楼,南,2017.07.22,30, 距离8号线北土城站420米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101714974.html
北苑租房,华贸城,北苑华贸城 东北向两居 全新家具家电 自住装修 近地铁,2室1厅,87平米,8200,中楼层(共27层),2012年建板楼,东 北,2017.07.20,18, 距离13号线北苑站844米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101715065.html
回龙观租房,新龙城,新龙城西南向正规两居室，看房方便拎包入住,2室1厅,90平米,5800,低楼层(共20层),2007年建板塔结合,西南,2017.07.25,73, 距离13号线回龙观站1049米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101717293.html
东直门租房,胡家园小区,胡家园 东南有客厅的两居 可看房 诚心租,2室1厅,64平米,7000,低楼层(共16层),1991年建塔楼,东 南,2017.07.25,40, 距离2号线东直门站899米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101647990.html
酒仙桥租房,卡布其诺,业主诚租房子随时可看  家具家电全齐 邻798颐堤港,2室1厅,80平米,8500,低楼层(共9层),2005年建板楼,南 北,2017.07.19,50, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101651202.html
七里庄租房,望园东里,望园东里 东南两居室 精装修 拎包入住,2室1厅,71平米,5500,中楼层(共24层),2000年建塔楼,东南,2017.07.23,40, 距离9号线七里庄站331米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101654892.html
西三旗租房,新康园,新康园 正规两居室 近地铁 可短租，可长租。,2室2厅,99平米,5500,中楼层(共32层),2003年建塔楼,东南,2017.07.27,71, 距离8号线育新站966米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101660017.html
五棵松租房,六建,六建大两居，看房随时，有钥匙。,2室1厅,61平米,5500,低楼层(共16层),1988年建塔楼,南 北,2017.07.14,54, 距离1号线五棵松站110米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101663107.html
六里桥租房,橙色年代,橙色年代 长租短租均可 精装大两居 家电齐全,2室2厅,95平米,6300,高楼层(共24层),2004年建塔楼,西南,2017.07.23,39, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101663526.html
牡丹园租房,塔院小区,牡丹园西土城地铁北医三院塔院小区南北向两居室,2室1厅,56平米,7500,中楼层(共6层),1988年建板楼,南 北,2017.07.14,42, 距离10号线西土城站841米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101667962.html
望京租房,澳洲康都,全南正规大两居，落地窗，看房有钥匙，干净舒适,2室2厅,99平米,9000,高楼层(共28层),2006年建板塔结合,南,2017.07.26,44, 距离14号线(东段)东湖渠站909米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101669553.html
七里庄租房,望园东里,七里庄望园东里三居出租！拎包入住！楼下地铁9.14号线,3室1厅,96平米,6500,高楼层(共24层),1999年建塔楼,东 南 北,2017.07.26,31, 距离9号线七里庄站294米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101724103.html
劲松租房,劲松一区,劲松一区，离地铁近，上班生活都方便。,2室1厅,43平米,5400,中楼层(共5层),1977年建板楼,南,2017.07.18,30, 距离10号线劲松站480米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101728762.html
赵公口租房,彩虹城四区,彩虹城 精装小两居 正对小区花园 中高楼层视野好,2室1厅,64平米,5500,中楼层(共22层),2005年建塔楼,东北,2017.07.26,28, 距离10号线石榴庄站1104米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101729279.html
六里桥租房,京铁家园,京铁家园 东向两居室 诚心出租,2室2厅,107平米,6000,低楼层(共22层),2002年建塔楼,东,2017.07.26,25, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101730053.html
天通苑租房,天通苑本六区,天通苑本六区  精装修   南北朝向两居室 随时看房,2室1厅,114平米,5500,中楼层(共6层),2001年建板楼,南 北,2017.07.23,33, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101730483.html
北苑租房,万科星园,万科两居室 业主自主 家电齐全 拎包入住,2室1厅,91平米,8500,低楼层(共28层),2005年建塔楼,西北,2017.07.18,38, 距离5号线北苑路北站773米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101611343.html
马连洼租房,梅园,上地马连洼地铁 肖家河 中关村 西苑 梅园通透两居室  ,2室1厅,63平米,5500,中楼层(共6层),1995年建板楼,南 北,2017.07.25,71, 距离16号线马连洼站586米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101594366.html
酒仙桥租房,卡布其诺,前后花园 南北通透明厨明卫 家具家电全齐 带车位,2室1厅,82平米,8500,低楼层(共9层),2005年建板楼,南 西 北,2017.07.16,53, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101596594.html
东直门租房,胡家园小区,胡家园 东南有客厅的两居 可看房 诚心租,2室1厅,64平米,7000,低楼层(共16层),1991年建塔楼,东 南,2017.07.25,40, 距离2号线东直门站899米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101647990.html
酒仙桥租房,卡布其诺,业主诚租房子随时可看  家具家电全齐 邻798颐堤港,2室1厅,80平米,8500,低楼层(共9层),2005年建板楼,南 北,2017.07.19,50, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101651202.html
七里庄租房,望园东里,望园东里 东南两居室 精装修 拎包入住,2室1厅,71平米,5500,中楼层(共24层),2000年建塔楼,东南,2017.07.23,40, 距离9号线七里庄站331米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101654892.html
西三旗租房,新康园,新康园 正规两居室 近地铁 可短租，可长租。,2室2厅,99平米,5500,中楼层(共32层),2003年建塔楼,东南,2017.07.27,71, 距离8号线育新站966米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101660017.html
五棵松租房,六建,六建大两居，看房随时，有钥匙。,2室1厅,61平米,5500,低楼层(共16层),1988年建塔楼,南 北,2017.07.14,54, 距离1号线五棵松站110米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101663107.html
六里桥租房,橙色年代,橙色年代 长租短租均可 精装大两居 家电齐全,2室2厅,95平米,6300,高楼层(共24层),2004年建塔楼,西南,2017.07.23,39, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101663526.html
牡丹园租房,塔院小区,牡丹园西土城地铁北医三院塔院小区南北向两居室,2室1厅,56平米,7500,中楼层(共6层),1988年建板楼,南 北,2017.07.14,42, 距离10号线西土城站841米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101667962.html
望京租房,澳洲康都,全南正规大两居，落地窗，看房有钥匙，干净舒适,2室2厅,99平米,9000,高楼层(共28层),2006年建板塔结合,南,2017.07.26,44, 距离14号线(东段)东湖渠站909米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101669553.html
牡丹园租房,塔院小区,塔院小区 精装修东向两居室 带电梯 家电齐全 出行方便,3室1厅,74平米,8000,低楼层(共13层),1992年建板塔结合,东,2017.07.22,36, 距离10号线西土城站487米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101672287.html
果园租房,雅丽世居,果园地铁站北侧南北通透两居带电梯,2室1厅,93平米,4300,中楼层(共18层),2005年建板楼,南 北,2017.07.26,30, 距离八通线果园站671米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101732816.html
陶然亭租房,中信锦园,中信锦园 南北通透小两居 业主诚心出租,2室1厅,80平米,10000,高楼层(共18层),2009年建板塔结合,南 北,2017.07.25,36, 距离4号线菜市口站476米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101554767.html
军博租房,会城门小区,会城门小区 军博地铁 电梯房 会城门农贸市场 家具齐全,2室1厅,66平米,6000,低楼层(共16层),1991年建塔楼,东 西,2017.07.26,21, 距离1号线军事博物馆站809米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101730618.html
工体租房,海晟名苑,东直门外，精装修，首层带小院，挑高3.3米，明厨明卫,3室1厅,147平米,21000,低楼层(共18层),2003年建板塔结合,东,2017.07.27,30, 距离2号线东直门站1152米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101500614.html
